Metadata_Plate,negcon,poscon,trt
C13459aW,32,32,320
C13459bW,32,32,320
C13459cW,32,32,320
C13459dW,32,32,320
C13487aW,32,32,320
C13487bW,32,32,320
C13487cW,32,32,320
C13487dW,32,32,320
C13495aW,32,32,320
C13495bW,32,32,320
C13495cW,32,32,320
CP-CC9-R1-01,29,35,317
CP-CC9-R1-02,29,35,318
CP-CC9-R1-03,29,35,318
CP-CC9-R1-04,28,36,318
CP-CC9-R1-05,28,35,319
CP-CC9-R1-06,28,36,320
CP-CC9-R1-07,30,36,318
CP-CC9-R1-08,28,36,320
CP-CC9-R1-09,28,36,320
CP-CC9-R1-10,28,36,320
CP-CC9-R1-11,28,36,320
CP-CC9-R1-12,182,36,166
CP-CC9-R1-13,28,36,320
CP-CC9-R1-14,28,37,319
CP-CC9-R1-15,28,36,320
CP-CC9-R1-16,29,36,319
CP-CC9-R1-17,28,36,320
CP-CC9-R1-18,28,36,320
CP-CC9-R1-19,29,36,319
CP-CC9-R1-20,30,36,318
CP-CC9-R1-21,29,36,319
CP-CC9-R1-22,28,36,320
CP-CC9-R1-23,28,36,320
CP-CC9-R1-24,28,36,320
CP-CC9-R1-25,28,36,320
CP-CC9-R1-26,29,36,319
CP-CC9-R1-27,192,36,156
CP-CC9-R1-28,384,0,0
CP-CC9-R1-29,64,11,309
CP-CC9-R2-01,28,36,320
CP-CC9-R2-02,29,36,319
CP-CC9-R2-03,29,36,319
CP-CC9-R2-04,30,36,318
CP-CC9-R2-05,28,36,320
CP-CC9-R2-06,28,36,320
CP-CC9-R2-07,28,36,320
CP-CC9-R2-08,28,36,320
CP-CC9-R2-09,29,36,319
CP-CC9-R2-10,29,36,319
CP-CC9-R2-11,31,36,317
CP-CC9-R2-12,182,36,166
CP-CC9-R2-13,29,36,319
CP-CC9-R2-14,28,37,319
CP-CC9-R2-15,29,36,319
CP-CC9-R2-16,29,36,319
CP-CC9-R2-17,32,36,316
CP-CC9-R2-18,29,36,319
CP-CC9-R2-19,28,36,320
CP-CC9-R2-20,29,36,319
CP-CC9-R2-21,31,36,317
CP-CC9-R2-22,28,36,320
CP-CC9-R2-23,33,36,315
CP-CC9-R2-24,30,36,318
CP-CC9-R2-25,29,36,319
CP-CC9-R2-26,29,36,319
CP-CC9-R2-27,193,36,155
CP-CC9-R2-28,384,0,0
CP-CC9-R2-29,60,11,292
CP-CC9-R3-01,28,36,320
